ticker,episode_id,company_name,exchange,first_qualifying_start_date,first_qualifying_end_date,best_90d_start_date,best_90d_end_date,best_90d_return,episode_start_date,episode_end_date,num_qualifying_windows,data_quality,preliminary,notes
AACG,AACG_001,ATA Creativity Global,NASDAQ,2020-11-06,2021-02-04,2020-11-06,2021-02-04,11.434782608695654,2020-11-06,2021-02-04,1,POC,True,
AB,AB_002,联博控股,NYSE,2020-03-16,2020-06-15,2020-04-15,2020-07-14,170.79999999999998,2020-03-16,2020-07-23,7,POC,True,
ACET,ACET_003,艾切托,NASDAQ,2019-02-26,2020-09-16,2019-04-02,2020-09-16,15.923076923076923,2019-02-26,2020-09-16,20,POC,True,
AEG,AEG_004,荷兰全球保险,NYSE,2020-03-16,2020-06-15,2020-03-16,2020-06-15,16.019736842105264,2020-03-16,2020-06-15,1,POC,True,
AFG,AFG_005,美国金融,NYSE,2016-12-27,2017-03-27,2016-12-28,2017-03-28,2865.0,2016-12-27,2017-04-26,11,POC,True,
AFG,AFG_006,美国金融,NYSE,2020-10-08,2021-01-06,2020-10-15,2021-01-13,279.0,2020-10-08,2021-01-25,5,POC,True,
AGM,AGM_007,联邦农业抵押贷款-C,NYSE,2016-05-17,2016-08-15,2016-05-23,2016-08-22,20.130434782608692,2016-05-17,2016-10-06,9,POC,True,
AGM.A,AGM.A_008,联邦农业抵押贷款-A,NYSE,2016-05-31,2016-08-29,2016-06-10,2016-09-08,166.66666666666666,2016-05-31,2016-11-28,26,POC,True,
AIM,AIM_009,AIM ImmunoTech,AMEX,2019-12-09,2020-03-09,2019-12-09,2020-03-09,13.877685546874998,2019-12-09,2020-03-09,2,POC,True,
AIM,AIM_010,AIM ImmunoTech,AMEX,2025-01-06,2025-06-17,2025-04-04,2025-07-03,92.26160337552744,2025-01-06,2025-07-03,62,POC,True,
AKTS,AKTS_011,Aktis Oncology,NASDAQ,2024-09-19,2026-01-09,2024-12-17,2026-01-09,601.1505376344086,2024-09-19,2026-01-09,63,POC,True,
ALPS,ALPS_012,ALPS GROUP INC,NASDAQ,2023-07-18,2025-10-31,2023-07-20,2025-10-31,16.964912280701757,2023-07-18,2025-10-31,3,POC,True,
AM,AM_013,Antero Midstream,NYSE,2020-06-05,2020-09-03,2020-06-05,2020-09-03,303.0,2020-06-05,2020-09-03,1,POC,True,
AM,AM_014,Antero Midstream,NYSE,2020-09-10,2020-12-09,2020-09-21,2020-12-21,319.75,2020-09-10,2021-01-04,10,POC,True,
AMSF,AMSF_015,Amerisafe,NASDAQ,2015-06-26,2015-09-24,2015-07-15,2015-10-13,31.833333333333336,2015-06-26,2015-12-17,7,POC,True,
APAM,APAM_016,Artisan Partners Asset Management,NYSE,2017-07-03,2017-10-02,2017-08-15,2017-11-13,193.00000000000003,2017-07-03,2017-12-18,12,POC,True,
APAM,APAM_017,Artisan Partners Asset Management,NYSE,2019-03-22,2019-06-20,2019-03-25,2019-06-24,44.99999999999999,2019-03-22,2019-08-28,4,POC,True,
APAM,APAM_018,Artisan Partners Asset Management,NYSE,2020-03-11,2020-06-09,2020-03-27,2020-06-25,398.00000000000006,2020-03-11,2020-07-22,13,POC,True,
APO,APO_019,阿波罗全球管理,NYSE,2016-09-01,2016-11-30,2016-10-06,2017-01-04,54.400000000000006,2016-09-01,2017-02-14,6,POC,True,
APRE,APRE_020,Aprea Therapeutics,NASDAQ,2022-11-14,2023-02-14,2022-11-16,2023-02-14,20.025641025641026,2022-11-14,2023-04-03,28,POC,True,
ARCC,ARCC_021,阿瑞斯,NASDAQ,2016-12-29,2017-03-29,2016-12-29,2017-03-29,110.0,2016-12-29,2017-03-29,1,POC,True,
ARCC,ARCC_022,阿瑞斯,NASDAQ,2017-08-18,2017-11-16,2017-08-18,2017-11-16,13.166666666666666,2017-08-18,2017-11-16,1,POC,True,
ARCC,ARCC_023,阿瑞斯,NASDAQ,2020-03-17,2020-06-15,2020-04-24,2020-07-23,11.708333333333334,2020-03-17,2020-07-23,2,POC,True,
ARES,ARES_024,Ares Management,NYSE,2018-11-30,2019-02-28,2019-02-06,2019-05-07,16.87054026503568,2018-11-30,2019-06-05,3,POC,True,
ARLP,ARLP_025,Alliance Resource,NASDAQ,2016-07-27,2016-10-25,2016-08-02,2016-10-31,66.675,2016-07-27,2016-11-08,5,POC,True,
ARLP,ARLP_026,Alliance Resource,NASDAQ,2018-04-26,2018-07-25,2018-04-26,2018-07-25,11.637681159420293,2018-04-26,2018-07-25,1,POC,True,
ARLP,ARLP_027,Alliance Resource,NASDAQ,2021-10-21,2022-01-19,2021-12-15,2022-03-15,22.53333333333333,2021-10-21,2022-03-15,4,POC,True,
AROC,AROC_028,Archrock,NYSE,2016-03-04,2016-06-02,2016-03-15,2016-06-13,28.333333333333336,2016-03-04,2016-08-01,3,POC,True,
AROC,AROC_029,Archrock,NYSE,2020-03-11,2020-06-09,2020-04-22,2020-07-21,79.125,2020-03-11,2020-07-27,6,POC,True,
ASC,ASC_030,Ardmore Shipping,NYSE,2020-09-25,2020-12-24,2020-11-20,2021-02-18,34.0,2020-09-25,2021-03-22,5,POC,True,
ASC,ASC_031,Ardmore Shipping,NYSE,2022-01-24,2022-04-25,2022-01-24,2022-04-25,13.823529411764705,2022-01-24,2022-04-28,2,POC,True,
ASST,ASST_032,Strive,NASDAQ,2025-02-07,2025-05-08,2025-02-21,2025-05-22,18.79309295603225,2025-02-07,2025-07-14,27,POC,True,
AU,AU_033,AngloGold Ashanti,NYSE,2015-07-17,2015-10-15,2015-07-17,2015-10-15,10.649474689589304,2015-07-17,2015-10-15,1,POC,True,
AU,AU_034,AngloGold Ashanti,NYSE,2015-12-23,2016-03-22,2016-01-15,2016-04-14,147.36842105263156,2015-12-23,2016-04-21,15,POC,True,
AU,AU_035,AngloGold Ashanti,NYSE,2018-08-16,2018-11-14,2018-08-16,2018-11-14,179.6875,2018-08-16,2018-11-19,3,POC,True,
AVGO,AVGO_036,博通,NASDAQ,2016-03-07,2016-06-06,2016-05-05,2016-08-03,550.75,2016-03-07,2016-08-17,9,POC,True,
AXR,AXR_037,安美瑞普,NYSE,2016-04-11,2016-07-11,2016-04-19,2016-07-18,147.0,2016-04-11,2016-09-21,9,POC,True,
AXR,AXR_038,安美瑞普,NYSE,2020-06-16,2020-09-14,2020-08-25,2020-11-23,150.0,2020-06-16,2020-12-09,23,POC,True,
BAK,BAK_039,Braskem,NYSE,2015-10-13,2016-01-11,2015-10-13,2016-01-11,17.84936874183718,2015-10-13,2016-01-11,1,POC,True,
BAK,BAK_040,Braskem,NYSE,2020-03-23,2020-06-22,2020-03-23,2020-06-22,11.5656146179402,2020-03-23,2020-06-22,1,POC,True,
BALY,BALY_041,Ballys,NYSE,2022-06-16,2022-09-14,2022-06-16,2022-09-14,23.0,2022-06-16,2022-09-19,3,POC,True,
BANF,BANF_042,BancFirst银行,NASDAQ,2016-01-22,2016-04-21,2016-01-22,2016-04-21,64.66666666666667,2016-01-22,2016-04-27,2,POC,True,
BAP,BAP_043,Credicorp,NYSE,2016-01-15,2016-04-14,2016-01-21,2016-04-20,11.888772298006296,2016-01-15,2016-04-20,3,POC,True,
BBAR,BBAR_044,Banco BBVA,NYSE,2020-03-18,2020-06-16,2020-05-01,2020-07-30,40.99783080260303,2020-03-18,2020-07-30,7,POC,True,
BBAR,BBAR_045,Banco BBVA,NYSE,2020-09-23,2020-12-22,2020-09-23,2020-12-22,122.95081967213112,2020-09-23,2021-01-28,6,POC,True,
BBAR,BBAR_046,Banco BBVA,NYSE,2021-03-08,2021-06-07,2021-03-08,2021-06-07,10.286554004408524,2021-03-08,2021-06-07,1,POC,True,
BBAR,BBAR_047,Banco BBVA,NYSE,2022-06-13,2022-09-12,2022-07-26,2022-10-24,7952.0,2022-06-13,2022-10-24,5,POC,True,
BBBY,BBBY_048,Bed Bath & Beyond,NYSE,2023-03-20,2025-08-29,2023-05-02,2025-08-29,118.92532942898974,2023-03-20,2025-08-29,30,POC,True,
BBD,BBD_049,布拉德斯科银行-Preferred,NYSE,2016-01-21,2016-04-20,2016-01-21,2016-04-20,13.15304709141274,2016-01-21,2016-04-20,1,POC,True,
BBVA,BBVA_050,西班牙毕尔巴鄂银行,NYSE,2020-03-16,2020-06-15,2020-03-16,2020-06-15,22.0820189274448,2020-03-16,2020-08-11,7,POC,True,
BBVA,BBVA_051,西班牙毕尔巴鄂银行,NYSE,2020-08-21,2020-11-19,2020-10-16,2021-01-14,1382.3529411764707,2020-08-21,2021-02-04,34,POC,True,
BBW,BBW_052,Build-A-Bear Workshop,NYSE,2018-12-13,2019-03-13,2018-12-13,2019-03-13,19.5,2018-12-13,2019-05-01,2,POC,True,
BBW,BBW_053,Build-A-Bear Workshop,NYSE,2020-12-04,2021-03-04,2020-12-04,2021-03-04,72.33333333333334,2020-12-04,2021-05-03,4,POC,True,
BBY,BBY_054,百思买,NYSE,2016-02-01,2016-05-02,2016-02-01,2016-05-02,27.6875,2016-02-01,2016-05-09,2,POC,True,
BCC,BCC_055,Boise Cascade,NYSE,2017-06-15,2017-09-13,2017-08-31,2017-11-29,847.0,2017-06-15,2017-12-05,13,POC,True,
BCC,BCC_056,Boise Cascade,NYSE,2019-07-01,2019-09-30,2019-07-02,2019-09-30,211.0,2019-07-01,2019-11-25,8,POC,True,
BCC,BCC_057,Boise Cascade,NYSE,2020-04-09,2020-07-08,2020-04-23,2020-07-22,118.2,2020-04-09,2020-08-12,8,POC,True,
BCSF,BCSF_058,Bain Capital Specialty Finance,NYSE,2020-05-01,2020-07-30,2020-05-01,2020-07-30,10.428571428571429,2020-05-01,2020-07-30,1,POC,True,
BCSF,BCSF_059,Bain Capital Specialty Finance,NYSE,2020-10-28,2021-01-26,2020-10-28,2021-01-26,34.75,2020-10-28,2021-01-28,3,POC,True,
BEBE,BEBE_060,TGE Value Creative Solutions,NYSE,2018-02-26,2018-05-29,2018-02-26,2018-05-29,65.0,2018-02-26,2018-09-04,7,POC,True,
BEBE,BEBE_061,TGE Value Creative Solutions,NYSE,2018-09-19,2018-12-18,2018-09-19,2018-12-18,15.0,2018-09-19,2018-12-18,1,POC,True,
BEBE,BEBE_062,TGE Value Creative Solutions,NYSE,2019-05-29,2019-08-27,2019-07-02,2019-09-30,37.0,2019-05-29,2019-10-01,5,POC,True,
BEP,BEP_063,Brookfield Renewable Partners LP,NYSE,2016-01-19,2016-04-18,2016-01-19,2016-04-18,24.92224938875306,2016-01-19,2016-04-18,1,POC,True,
BGSF,BGSF_064,BG Staffing,NYSE,2020-03-18,2020-06-16,2020-04-03,2020-07-02,29.71428571428571,2020-03-18,2020-07-02,2,POC,True,
BGSF,BGSF_065,BG Staffing,NYSE,2025-05-12,2025-08-11,2025-06-16,2025-09-15,193.0,2025-05-12,2025-09-15,6,POC,True,
BHP,BHP_066,必和必拓,NYSE,2016-10-14,2017-01-12,2016-10-17,2017-01-17,16.356164383561644,2016-10-14,2017-02-02,3,POC,True,
BIP,BIP_067,Brookfield基础设施,NYSE,2016-01-13,2016-04-12,2016-01-22,2016-04-21,140.28911564625852,2016-01-13,2016-05-11,5,POC,True,
BKE,BKE_068,巴克尔,NYSE,2020-11-03,2021-02-01,2020-11-04,2021-02-02,240.66666666666669,2020-11-03,2021-03-01,3,POC,True,
BLX,BLX_069,拉丁美洲出口银行,NYSE,2020-04-13,2020-07-13,2020-04-13,2020-07-13,11.2,2020-04-13,2020-07-13,1,POC,True,
BMA,BMA_070,Banco Macro,NYSE,2020-04-23,2020-07-22,2020-04-24,2020-07-23,121.03120759837178,2020-04-23,2020-07-23,2,POC,True,
BMA,BMA_071,Banco Macro,NYSE,2020-09-25,2020-12-24,2020-09-25,2020-12-24,12.544802867383511,2020-09-25,2020-12-24,1,POC,True,
BMA,BMA_072,Banco Macro,NYSE,2021-03-16,2021-06-14,2021-03-22,2021-06-21,37.05772811918063,2021-03-16,2021-06-21,3,POC,True,
BMA,BMA_073,Banco Macro,NYSE,2021-07-06,2021-10-04,2021-07-15,2021-10-13,151.82481751824818,2021-07-06,2021-11-11,4,POC,True,
BMA,BMA_074,Banco Macro,NYSE,2021-12-09,2022-03-09,2022-01-13,2022-04-13,160.5839416058394,2021-12-09,2022-06-02,6,POC,True,
BMA,BMA_075,Banco Macro,NYSE,2022-10-14,2023-01-12,2022-11-09,2023-02-07,671.3063063063063,2022-10-14,2023-03-16,14,POC,True,
BMNR,BMNR_076,Bitmine Immersion Technologies,NYSE,2025-06-16,2025-09-15,2025-06-20,2025-09-18,12.058823529411764,2025-06-16,2025-09-25,9,POC,True,
BNAI,BNAI_077,Brand Engagement Network,NASDAQ,2025-10-27,2026-01-26,2025-12-26,2026-03-26,30.85,2025-10-27,2026-03-31,26,POC,True,
BNGO,BNGO_078,BioNano Genomics,NASDAQ,2020-10-05,2021-01-04,2020-11-16,2021-02-16,30.14,2020-10-05,2021-03-22,49,POC,True,
BORR,BORR_079,Borr Drilling,NYSE,2020-03-18,2020-06-16,2020-03-18,2020-06-16,15.875,2020-03-18,2020-06-16,1,POC,True,
BPYPN,BPYPN_080,BROOKFIELD PROPERTY PARTNERS LP(BM) 5.750% CUM RED PERP PFD SER 3 CL A,NASDAQ,2020-03-23,2020-06-22,2020-03-23,2020-06-22,15.417229421427264,2020-03-23,2020-06-22,1,POC,True,
BSBR,BSBR_081,桑坦德银行(巴西),NYSE,2015-03-13,2015-06-11,2015-03-13,2015-06-11,15.295252225519288,2015-03-13,2015-06-15,2,POC,True,
BSBR,BSBR_082,桑坦德银行(巴西),NYSE,2015-08-26,2015-11-24,2015-08-26,2015-11-24,32.963855421686745,2015-08-26,2015-11-24,1,POC,True,
BSBR,BSBR_083,桑坦德银行(巴西),NYSE,2015-12-10,2016-03-09,2015-12-10,2016-03-09,419.5263157894737,2015-12-10,2016-03-29,5,POC,True,
BSET,BSET_084,巴西特家具,NASDAQ,2020-03-20,2020-06-18,2020-05-07,2020-08-05,136.2,2020-03-20,2020-08-31,11,POC,True,
BSM,BSM_085,Black Stone Minerals,NYSE,2015-10-01,2015-12-30,2015-10-01,2015-12-30,14.07142857142857,2015-10-01,2015-12-30,1,POC,True,
BSM,BSM_086,Black Stone Minerals,NYSE,2016-01-13,2016-04-12,2016-03-09,2016-06-07,95.41666666666669,2016-01-13,2016-06-14,7,POC,True,
BSM,BSM_087,Black Stone Minerals,NYSE,2021-01-14,2021-04-14,2021-01-14,2021-04-14,36.25,2021-01-14,2021-04-14,1,POC,True,
BTE,BTE_088,Baytex Energy,NYSE,2020-09-08,2023-02-23,2020-10-30,2023-02-23,32.8303946263644,2020-09-08,2023-02-23,60,POC,True,
BTG,BTG_089,B2Gold,AMEX,2016-02-08,2016-05-09,2016-02-09,2016-05-09,86.39999999999999,2016-02-08,2016-05-10,3,POC,True,
BTU,BTU_090,Peabody Energy,NYSE,2016-01-14,2017-04-04,2016-02-08,2017-04-04,583.5,2016-01-14,2017-04-04,17,POC,True,
BTU,BTU_091,Peabody Energy,NYSE,2020-10-29,2021-01-27,2020-11-12,2021-02-10,176.0,2020-10-29,2021-02-18,12,POC,True,
BWMX,BWMX_092,Betterware de Mexico,NYSE,2020-05-11,2020-08-10,2020-05-28,2020-08-26,110.69088937093277,2020-05-11,2020-10-28,33,POC,True,
BX,BX_093,黑石,NYSE,2015-01-23,2015-04-23,2015-01-23,2015-04-23,25.384615384615383,2015-01-23,2015-04-27,2,POC,True,
BX,BX_094,黑石,NYSE,2017-01-27,2017-04-27,2017-05-12,2017-08-10,293.0,2017-01-27,2017-08-14,9,POC,True,
CAMP,CAMP_095,Camp4 Therapeutics,NASDAQ,2024-06-04,2024-10-11,2024-06-11,2024-10-11,25.8,2024-06-04,2024-10-11,6,POC,True,
CANG,CANG_096,灿谷,NYSE,2019-10-15,2020-01-13,2019-10-15,2020-01-13,13.72972972972973,2019-10-15,2020-01-13,1,POC,True,
CANG,CANG_097,灿谷,NYSE,2022-03-09,2022-06-07,2022-03-10,2022-06-08,22.0,2022-03-09,2022-08-04,3,POC,True,
CAPL,CAPL_098,CrossAmerica,NYSE,2015-09-23,2015-12-22,2015-10-01,2015-12-30,117.875,2015-09-23,2016-03-15,4,POC,True,
CAPL,CAPL_099,CrossAmerica,NYSE,2018-06-12,2018-09-10,2018-06-12,2018-09-10,36.75,2018-06-12,2018-10-01,6,POC,True,
CAPL,CAPL_100,CrossAmerica,NYSE,2018-11-05,2019-02-04,2018-11-30,2019-02-28,79.83333333333333,2018-11-05,2019-04-04,3,POC,True,
CAPL,CAPL_101,CrossAmerica,NYSE,2020-05-13,2020-08-11,2020-07-17,2020-10-15,23.32142857142857,2020-05-13,2020-10-15,3,POC,True,
CAR,CAR_102,安飞士,NASDAQ,2020-03-20,2020-06-18,2020-05-13,2020-08-11,29.095890410958905,2020-03-20,2020-08-13,5,POC,True,
CBAT,CBAT_103,中比能源,NASDAQ,2020-08-17,2020-11-16,2020-08-18,2020-11-16,15.617647058823527,2020-08-17,2020-11-30,9,POC,True,
CBIO,CBIO_104,Crescent Biopharma,NASDAQ,2017-08-21,2017-11-20,2017-08-23,2017-11-21,33.44440263377583,2017-08-21,2018-02-14,27,POC,True,
CBIO,CBIO_105,Crescent Biopharma,NASDAQ,2020-03-18,2020-06-16,2020-03-18,2020-06-16,10.924996154166026,2020-03-18,2020-06-16,1,POC,True,
CC,CC_106,The Chemours,NYSE,2016-06-30,2016-09-28,2016-07-11,2016-10-10,34.20224719101123,2016-06-30,2016-10-11,4,POC,True,
CCAP,CCAP_107,Crescent Capital BDC,NASDAQ,2020-03-16,2020-06-15,2020-03-16,2020-06-15,195.0,2020-03-16,2020-08-20,7,POC,True,
CCOI,CCOI_108,Cogent通信,NASDAQ,2015-08-24,2015-11-23,2015-09-14,2015-12-14,1108.0,2015-08-24,2015-12-21,7,POC,True,
CDIO,CDIO_109,Cardio Diagnostics,NASDAQ,2023-10-12,2024-01-10,2023-10-12,2024-01-10,10.307692307692308,2023-10-12,2024-01-10,1,POC,True,
