ticker,company_name,exchange,start_date,target_end_date,end_date,start_price,end_price,return_90d,raw_start_price,raw_end_price,raw_return_90d,adjusted_start_price,adjusted_end_price,adjusted_return_90d,qualification_basis,quality_tier,needs_manual_review,market_cap_at_start,industry,episode_id,data_source,data_quality,preliminary,price_basis,notes
AACG,ATA Creativity Global,NASDAQ,2020-11-06,2021-02-04,2021-02-04,1.15,14.3,11.434782608695654,1.15,14.3,11.434782608695654,,,,raw,RAW_ONLY_REVIEW,True,,,AACG_001,akshare,POC,True,dual,raw/adjusted qualification mismatch
AB,联博控股,NYSE,2020-03-16,2020-06-14,2020-06-15,0.05,6.56,130.2,0.05,6.56,130.2,,,,raw,RAW_ONLY_REVIEW,True,,,AB_002,akshare,POC,True,dual,raw/adjusted qualification mismatch
AB,联博控股,NYSE,2020-04-07,2020-07-06,2020-07-06,0.22,7.54,33.27272727272727,0.22,7.54,33.27272727272727,,,,raw,RAW_ONLY_REVIEW,True,,,AB_002,akshare,POC,True,dual,raw/adjusted qualification mismatch
AB,联博控股,NYSE,2020-04-13,2020-07-12,2020-07-13,0.32,7.79,23.34375,0.32,7.79,23.34375,,,,raw,RAW_ONLY_REVIEW,True,,,AB_002,akshare,POC,True,dual,raw/adjusted qualification mismatch
AB,联博控股,NYSE,2020-04-15,2020-07-14,2020-07-14,0.05,8.59,170.79999999999998,0.05,8.59,170.79999999999998,,,,raw,RAW_ONLY_REVIEW,True,,,AB_002,akshare,POC,True,dual,raw/adjusted qualification mismatch
AB,联博控股,NYSE,2020-04-17,2020-07-16,2020-07-16,0.66,9.29,13.075757575757574,0.66,9.29,13.075757575757574,,,,raw,RAW_ONLY_REVIEW,True,,,AB_002,akshare,POC,True,dual,raw/adjusted qualification mismatch
AB,联博控股,NYSE,2020-04-20,2020-07-19,2020-07-20,0.22,8.76,38.81818181818182,0.22,8.76,38.81818181818182,,,,raw,RAW_ONLY_REVIEW,True,,,AB_002,akshare,POC,True,dual,raw/adjusted qualification mismatch
AB,联博控股,NYSE,2020-04-24,2020-07-23,2020-07-23,0.22,9.3,41.27272727272727,0.22,9.3,41.27272727272727,,,,raw,RAW_ONLY_REVIEW,True,,,AB_002,akshare,POC,True,dual,raw/adjusted qualification mismatch
ACET,艾切托,NASDAQ,2019-02-26,2019-05-27,2020-09-16,15.68,246.4,14.714285714285715,15.68,246.4,14.714285714285715,,,,raw,RAW_ONLY_REVIEW,True,,,ACET_003,akshare,POC,True,dual,raw/adjusted qualification mismatch
ACET,艾切托,NASDAQ,2019-03-01,2019-05-30,2020-09-16,22.4,246.4,10.000000000000002,22.4,246.4,10.000000000000002,,,,raw,RAW_ONLY_REVIEW,True,,,ACET_003,akshare,POC,True,dual,raw/adjusted qualification mismatch
ACET,艾切托,NASDAQ,2019-03-04,2019-06-02,2020-09-16,20.16,246.4,11.222222222222223,20.16,246.4,11.222222222222223,,,,raw,RAW_ONLY_REVIEW,True,,,ACET_003,akshare,POC,True,dual,raw/adjusted qualification mismatch
ACET,艾切托,NASDAQ,2019-03-07,2019-06-05,2020-09-16,21.28,246.4,10.578947368421053,21.28,246.4,10.578947368421053,,,,raw,RAW_ONLY_REVIEW,True,,,ACET_003,akshare,POC,True,dual,raw/adjusted qualification mismatch
ACET,艾切托,NASDAQ,2019-03-08,2019-06-06,2020-09-16,16.8,246.4,13.666666666666666,16.8,246.4,13.666666666666666,,,,raw,RAW_ONLY_REVIEW,True,,,ACET_003,akshare,POC,True,dual,raw/adjusted qualification mismatch
ACET,艾切托,NASDAQ,2019-03-13,2019-06-11,2020-09-16,22.4,246.4,10.000000000000002,22.4,246.4,10.000000000000002,,,,raw,RAW_ONLY_REVIEW,True,,,ACET_003,akshare,POC,True,dual,raw/adjusted qualification mismatch
ACET,艾切托,NASDAQ,2019-03-14,2019-06-12,2020-09-16,21.28,246.4,10.578947368421053,21.28,246.4,10.578947368421053,,,,raw,RAW_ONLY_REVIEW,True,,,ACET_003,akshare,POC,True,dual,raw/adjusted qualification mismatch
ACET,艾切托,NASDAQ,2019-03-15,2019-06-13,2020-09-16,21.28,246.4,10.578947368421053,21.28,246.4,10.578947368421053,,,,raw,RAW_ONLY_REVIEW,True,,,ACET_003,akshare,POC,True,dual,raw/adjusted qualification mismatch
ACET,艾切托,NASDAQ,2019-03-18,2019-06-16,2020-09-16,21.28,246.4,10.578947368421053,21.28,246.4,10.578947368421053,,,,raw,RAW_ONLY_REVIEW,True,,,ACET_003,akshare,POC,True,dual,raw/adjusted qualification mismatch
ACET,艾切托,NASDAQ,2019-03-19,2019-06-17,2020-09-16,20.16,246.4,11.222222222222223,20.16,246.4,11.222222222222223,,,,raw,RAW_ONLY_REVIEW,True,,,ACET_003,akshare,POC,True,dual,raw/adjusted qualification mismatch
